id,estado,ciudad,latitud,longitud
1,Nuevo León,Monterrey,25.6773529052734,-100.317085266113
2,Sinaloa,Mazatlán,23.2038326263428,-106.416069030762
3,Jalisco,Guadalajara,20.6735916137695,-103.343795776367
4,Tamaulipas,Tampico,22.2432346343994,-97.8426284790039
5,Distrito Federal,Ciudad de México,19.4270458221436,-99.127571105957
6,Puebla,Puebla,19.0486316680908,-98.1929473876953
7,Veracruz,Veracruz,19.0068321228027,-96.0852432250977
8,Oaxaca,Oaxaca,16.9074306488037,-96.9513473510742
9,Yucatán,Mérida,20.8218688964844,-89.552864074707
10,Baja California,Mexicali,32.6202049255371,-115.294235229492
11,Aguascalientes,Aguascalientes,21.8533477783203,-102.186340332031
12,Campeche,Campeche,19.8039875030518,-90.5446624755859
13,Baja California Sur,La Paz,24.1898307800293,-110.253860473633
14,Chiapas,Tuxtla Gutierrez,16.6302967071533,-92.9951629638672
15,Chihuahua,Chihuahua,28.5602970123291,-105.975158691406
16,Coahuila,Saltillo,25.4418563842773,-100.995826721191
17,Colima,Colima,19.2103652954102,-103.684097290039
18,Durango,Durango,24.0200004577637,-104.400001525879
19,Guanajuato,Guanajuato,21.0100002288818,-101.150001525879
20,Guerrero,Chilpancingo,17.3570594787598,-99.3833694458008
21,Hidalgo,Pachuca,20.0970592498779,-98.7004470825195
22,Michoacán,Morelia,19.6633548736572,-101.073204040527
23,México,Toluca,19.3204956054688,-99.5312805175781
24,Morelos,Cuernavaca,18.9500789642334,-99.1811752319336
25,Nayarit,Tepic,21.5304470062256,-104.782417297363
26,Querétaro,Querétaro,20.5007400512695,-100.241172790527
27,Quintana Roo,Chetumal,18.5512390136719,-88.2643585205078
28,San Luis Potosí,San Luis Potosí,22.13671875,-100.96923828125
29,Sinaloa,Culiacán,24.7133388519287,-107.455558776855
30,Sonora,Hermosillo,29.0204448699951,-110.83422088623
31,Tabasco,Villahermosa,17.9675579071045,-92.862548828125
32,Tlaxcala,Tlaxcala,19.2776298522949,-98.1972274780273
33,Veracruz,Jalapa,19.4677295684814,-96.9254760742188
34,Zacatecas,Zacatecas,22.7592163085938,-102.722938537598
35,Tamaulipas,Ciudad Victoria,23.7351474761963,-99.1481094360352
36,Guerrero,Acapulco,16.97438621521,-99.9314956665039
